【整租】高米店 乐乎城市青年社区 1室1厅,【整租】高米店,2250,http://bj.58.com/pinpaigongyu/31461957613886x.shtml?psid=189361605198011887064609298
【整租】劲松 条玛青年社区 1室1厅,【整租】劲松,3800,http://bj.58.com/pinpaigongyu/31995321977289x.shtml?psid=189361605198011887064609298
【整租】通州北苑 通州北苑 1室1厅,通州北苑,2200,http://bj.58.com/pinpaigongyu/31565212291520x.shtml?psid=189361605198011887064609298
【整租】国贸 尚帝佳公寓 1室0厅,【整租】国贸,2400,http://bj.58.com/pinpaigongyu/31494462998326x.shtml?psid=189361605198011887064609298
【整租】五棵松 乐乎城市社区 五 1室1厅,乐乎城市社区,2850,http://bj.58.com/pinpaigongyu/32002255584169x.shtml?psid=189361605198011887064609298
【整租】定福庄 双桥条玛青年公寓 1室1厅,【整租】定福庄,3000,http://bj.58.com/pinpaigongyu/31572880355901x.shtml?psid=189361605198011887064609298
【整租】角门 公益西桥乐乎城青 1室1厅,公益西桥乐乎城青,3100,http://bj.58.com/pinpaigongyu/31428058150734x.shtml?psid=189361605198011887064609298
【整租】沙河 保利罗兰香谷 2室1厅,保利罗兰香谷,3400,http://bj.58.com/pinpaigongyu/32090832426173x.shtml?psid=189361605198011887064609298
【整租】十里河 乐乎城市青年社区 1室1厅,【整租】十里河,3400,http://bj.58.com/pinpaigongyu/32069360321612x.shtml?psid=189361605198011887064609298
【整租】玉泉营 乐乎城市青年社区 1室1厅,【整租】玉泉营,2400,http://bj.58.com/pinpaigongyu/32026033295940x.shtml?psid=189361605198011887064609298
【合租】北沙滩 冠军城 2室主卧,冠军城,2900,http://bj.58.com/pinpaigongyu/32014051993797x.shtml?psid=189361605198011887064609298
【整租】乐乎社区 总部基地 城乡总部基地店,总部基地,2200-2400,http://bj.58.com/pinpaigongyu/32005948445647x.shtml?psid=189361605198011887064609298
【合租】甜水园 甜水园北里 3室次卧,甜水园北里,2700,http://bj.58.com/pinpaigongyu/31781276282811x.shtml?psid=189361605198011887064609298
【合租】大望路 外企公寓 3室主卧,【合租】大望路,3410,http://bj.58.com/pinpaigongyu/31616540153525x.shtml?psid=189361605198011887064609298
【合租】奥林匹克公园 龙祥嘉园 3室主卧,龙祥嘉园,2799,http://bj.58.com/pinpaigongyu/32059934105164x.shtml?psid=189361605198011887064609298
【整租】远江公寓 运河大街 运河大街店,运河大街,2880-3480,http://bj.58.com/pinpaigongyu/31497333441835x.shtml?psid=189361605198011887064609298
